x	y	kxx	kxy	kyy
305.613	609.044	0.00576301	0.000202967	0.00417253
443.138	602.891	0.00582506	0.000465473	0.00443631
574.054	596.974	0.00648632	0.000778909	0.00484327
171.113	742.316	0.00473065	-7.51472e-05	0.00407459
321.826	733.233	0.00473467	0.00020048	0.00404966
470.268	722.198	0.00515683	0.000309083	0.00419694
610.125	710.007	0.00521061	0.000562516	0.00439209
183.483	888.905	0.00422242	3.07893e-05	0.00398736
345.721	875.858	0.0041119	0.000131416	0.0036926
504.594	858.197	0.0042992	0.0003201	0.00391774
652.561	837.817	0.00468967	0.000473775	0.00433967
427.515	315.822	0.0032744	-0.000307803	0.00355025
621.417	304.626	0.00334622	-0.000146794	0.00315455
829.818	299.977	0.00318761	2.65933e-05	0.00298075
1036.05	302.941	0.00323632	0.000146888	0.00320621
420.781	513.225	0.00310528	-0.000104534	0.00367762
619.024	510.606	0.00298287	-2.47999e-05	0.00316031
832.934	509.48	0.00296688	-2.12644e-05	0.00307016
1044.49	510.048	0.00294855	6.62013e-05	0.00313607
421.38	716.066	0.00317709	0.000170489	0.00357661
619.113	722.926	0.00306379	5.36494e-05	0.0032699
832.412	725.697	0.0030337	6.93099e-06	0.00310691
1043.41	723.734	0.00311045	-0.000134943	0.00333506
249.512	458.369	0.00487283	0.000142227	0.00454988
385.612	448.233	0.0053282	0.000306247	0.00458749
515.285	440.379	0.0054	0.000473303	0.00494985
634.992	434.563	0.00611588	0.000883918	0.00550721
265.597	594.233	0.00444032	0.000102016	0.00432127
408.215	578.929	0.00454631	0.000203069	0.00452919
543.291	564.707	0.00473829	0.00044987	0.00468972
666.841	552.072	0.00510565	0.000596628	0.00555885
289.347	742.47	0.00413192	4.88518e-05	0.00410338
436.876	721.048	0.00408278	0.000166768	0.00437032
575.681	699.361	0.00443479	0.000305378	0.00468533
701.614	678.471	0.00475851	0.000595886	0.00550497
827.861	423.645	0.00631406	-0.000901415	0.00535759
941.315	449.983	0.00578078	-0.000610919	0.00496779
1065.41	480.729	0.00523827	-0.000294194	0.0044816
1197.03	515.684	0.00506274	-4.37012e-05	0.00436009
772.877	530.768	0.00553904	-0.000789802	0.00522359
888.207	564.9	0.00510199	-0.000542332	0.00483133
1016.03	603.47	0.00480743	-0.000240308	0.00440731
1152.95	645.678	0.0045673	-7.4838e-05	0.00416163
713.082	646.156	0.00486076	-0.000639762	0.00546972
828.541	689.414	0.00457404	-0.000458766	0.0045308
957.964	736.914	0.00444352	-0.000317532	0.00445098
1098.25	787.296	0.00417925	-0.000160186	0.00415103
289.629	136.482	0.00446353	-0.000397233	0.00491197
427.047	157.759	0.00480111	-0.000627245	0.0052736
546.342	180.039	0.005425	-0.000991151	0.00609867
647.906	201.769	0.00561189	-0.00129054	0.00710957
246.513	286.075	0.00478143	-0.000586361	0.00480364
380.004	294.762	0.00506981	-0.000843329	0.00543147
497.642	304.886	0.00546412	-0.00116493	0.00599803
599.381	315.505	0.00637484	-0.00169339	0.00757836
214.351	423.305	0.00540076	-0.000721803	0.00509513
341.575	421.75	0.0059049	-0.00103469	0.00581536
455.478	421.842	0.00638355	-0.00144296	0.0062904
555.559	423.005	0.00680695	-0.00186668	0.00721984
861.058	273.217	0.00547585	-0.000938357	0.00759108
960.92	261.397	0.00547788	-0.000803031	0.00682104
1072.25	250.551	0.0053849	-0.000570673	0.005923
1193.95	241.523	0.00533642	-0.000532614	0.0053602
853.601	385.731	0.00534639	-0.000617143	0.00747874
955.354	381.235	0.00503129	-0.000507374	0.00648743
1069.36	377.608	0.00469123	-0.000399405	0.00568162
1194.64	375.544	0.00483068	-0.000267845	0.00508561
844.603	503.291	0.00532513	-0.000315399	0.00724065
946.974	507.05	0.00463704	-0.000208661	0.00656485
1062.16	511.834	0.00456054	-0.000166588	0.00551517
1189.09	517.861	0.00441743	-0.000188036	0.00506757
